Date,Type,Text,Mood,Energy,Tags,GPT_Summary
2025-07-27 17:13:20,journal,i felt okay,5,3,"emotions, feelings","The writer experienced a state of feeling okay, suggesting a lack of strong emotion."
2025-07-27 17:14:51,journal,i had a fight with my mom,3,3,"conflict, family, mother, argument, emotions, sadness, frustration",The journal entry describes a conflict with the writer's mother.
2025-07-27 17:13:20,journal,i felt okay,5,3,"emotions, feelings","The writer experienced a state of feeling okay, suggesting a lack of strong emotion."
2025-07-28 09:45:00,journal,Today felt really heavy. I didn’t feel like getting out of bed.,2,1,"low mood, fatigue","The writer experienced a low-energy day with emotional heaviness and difficulty in motivation."
2025-07-29 21:10:30,journal,I had a good laugh with my friends. It felt refreshing.,7,6,"friendship, joy, social","The writer had a joyful interaction with friends, which boosted their mood and energy."
2025-07-30 14:32:10,journal,Felt super productive today. Got everything on my list done!,8,8,"productivity, achievement","The writer had a high-energy, high-mood day marked by productivity and a sense of accomplishment."
2025-07-31 20:17:55,journal,My anxiety came back today and I couldn’t focus.,3,2,"anxiety, distraction","The writer struggled with recurring anxiety, leading to low energy and trouble concentrating."
2025-08-01 11:05:25,journal,Mediocre day. Nothing stood out.,5,4,"neutral, routine","The writer experienced a neutral, average day with no significant emotional highs or lows."
2025-08-02 22:50:10,journal,I cried watching an old video. I miss how things used to be.,3,3,"nostalgia, sadness","The writer felt emotional and nostalgic, reflecting on the past with sadness."
2025-08-03 18:25:45,journal,Felt excited about a new idea. Can’t wait to start working on it!,8,7,"inspiration, motivation","The writer felt inspired and highly motivated by a new idea or project."
2025-08-04 07:15:00,journal,Exhausted. My body feels drained and my head’s a mess.,2,1,"burnout, exhaustion","The writer is experiencing physical and mental exhaustion, indicating burnout."
2025-08-05 16:39:00,journal,I felt peaceful today. Spent time alone and enjoyed the quiet.,6,5,"solitude, peace","The writer found contentment and calm in solitude, with a balanced mood and energy level."
